_id,ADDRESS_INFO,NAME,CATEGORY,PHONE,EMAIL,WEBSITE,GEOID,RECEIVED_DATE,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,WARD,WARD_2003,WARD_2021,MI_PRINX,ATTRACTION,MAP_ACCESS,geometry
1,,299 Queen Street West,Landmark,416-384-6104,,https://www.much.com/,3948802,,3948802,299,Queen St W,299 Queen St W,M5V 2Z5,former Toronto,Toronto,,104008,3948809,299,,,,4238,Spadina-Fort York,20,10,3079761,A monumental building that was once dedicated to engaging the youth through popular music and popular television series.,Y,"{""coordinates"": [[-79.39044, 43.64942]], ""type"": ""MultiPoint""}"
2,,Aga Khan Museum,Museum,416-646-4677,,https://www.agakhanmuseum.org/,10142948,,10142948,77,Wynford Dr,77 Wynford Dr,M3C 1K1,North York,Toronto,,107008,444094,77,,,,7128,Don Valley East,26,16,4094277,"Dedicated to sharing the artistic, intellectual, and scientific contributions that Islamic civilizations and cultures have made to world heritage.",Y,"{""coordinates"": [[-79.33223, 43.72526]], ""type"": ""MultiPoint""}"
3,,Al Green Theatre (at the Miles Nadal Jewish Community Centre),Performing Arts,416-924-6211,,http://www.algreentheatre.ca/,8418224,,8418224,750,Spadina Ave,750 Spadina Ave,M5S 2J2,former Toronto,Toronto,Miles Nadal Jewish Community Centre,115001,8418213,750,,,,4426,University-Rosedale,20,11,1951177,"The Al Green Theatre is used  for social and corporate event, theatre, film, concerts, dance; and lectures.",N,"{""coordinates"": [[-79.40395, 43.66641]], ""type"": ""MultiPoint""}"
4,,Alexander Muir Memorial Gardens,Nature/ Park,416-396-7378,,https://www.toronto.ca/data/parks/prd/facilities/complex/193/index.html,10154587,,10154587,2901,Yonge St,2901 Yonge St,M4N 3N8,former Toronto,Toronto,,106001,30094595,2901,,,,4733,Don Valley West,25,15,4217141,Named after the famous composer Alexander Muir. The gardens act as a path into the tranquil ravine system that includes walking trails. The gardens are open year round.,Y,"{""coordinates"": [[-79.4012, 43.72157]], ""type"": ""MultiPoint""}"
5,,Allan Gardens,Nature/ Park,416-392-7288,,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/beaches-gardens-attractions/gardens-and-horticulture/conservatories/allan-gardens-conservatory/,12387690,,12387690,19,Horticultural Ave,19 Horticultural Ave,M5A 2P2,former Toronto,Toronto,,115001,30055840,19,,,,3695,Toronto Centre,27,13,3358221,Allan Gardens is a park and indoor botanical garden built in 1910. The building houses six greenhouses featuring plants and flowers from across the globe. Open year round and free to the public.,Y,"{""coordinates"": [[-79.37458, 43.66153]], ""type"": ""MultiPoint""}"
6,,Alumnae Theatre,Performing Arts,416-364-4170,,https://www.alumnaetheatre.com/,11070101,,11070101,70,Berkeley St,70 Berkeley St,M5A 2W6,former Toronto,Toronto,,115001,11070091,70,,,,2995,Toronto Centre,28,13,2198005,The theatre company is housed inside an old firehall and is the oldest theatre society in Toronto. Each year the company offers three productions.,Y,"{""coordinates"": [[-79.36498, 43.65273]], ""type"": ""MultiPoint""}"
7,Inside The Well,Arcadia Earth,Attraction,None,None,https://www.arcadiaearth.ca/,,None,,486,Front St,486 Front St,M5V 0V2,former Toronto,Toronto,None,,,,None,None,None,,Spadina-Fort York,20,10,,Arcadia Earth is a multi-sensory journey that combines creative art installations and exciting technology that showcases the beauty of our planet.,None,"{""coordinates"": [[-79.397, 43.64297]], ""type"": ""MultiPoint""}"
8,,Art Gallery of Ontario,Gallery,416-979-6648,,https://ago.ca/,796549,,796549,317,Dundas St W,317 Dundas St W,M5T 1G4,former Toronto,Toronto,,107010,1144804,317,,,,558,Spadina-Fort York,20,10,3838389,"The Art Gallery of Ontario (AGO) is one of the largest art galleries in North America, and holds more than 80,000 works in its collection. In 2008 the building was redesigned by famous architect and native Torontonian, Frank Gehry.",Y,"{""coordinates"": [[-79.39253, 43.6536]], ""type"": ""MultiPoint""}"
9,,Art Museum at the University of Toronto,Gallery,416-978-1838,,https://artmuseum.utoronto.ca/,7793198,,7793198,15,King's College Crcl,15 King's College Crcl,M5S 3H7,former Toronto,Toronto,,115001,7793196,15,,,,11268,University-Rosedale,20,11,2923233,Originally opened in 1996 The Arts centre puts a special focus on study collections.,N,"{""coordinates"": [[-79.39579, 43.66316]], ""type"": ""MultiPoint""}"
10,,Artscape Wychwood Barns,Landmark,647-696-6962,,https://artscapewychwoodbarns.ca/,887004,,,601,Christie St,601 Christie St,M6G 4C7,former Toronto,Toronto,,,,,,,,,Toronto-St. Paul's,21,12,,"A heritage building converted into a community centre that hosts many events, festivals, farmers market and a children's theatre.",,"{""coordinates"": [[-79.42384, 43.67989]], ""type"": ""MultiPoint""}"
11,,Ashbridges Bay Park,Nature/ Park,416-392-2489,,https://www.toronto.ca/data/parks/prd/facilities/complex/1/index.html,7650406,,7650406,1561,Lake Shore Blvd E,1561 Lake Shore Blvd E,M4L 3W6,former Toronto,Toronto,,106001,13973014,1675,,,,3803,Beaches-East York,32,19,4149245,"Ashbridges Bay waterfront park features large beaches, fishing areas, a marina, and the Woodbine Beach boardwalk.",Y,"{""coordinates"": [[-79.31033, 43.65996]], ""type"": ""MultiPoint""}"
12,Located inside Beaches Park,Balmy Beach Park,Nature/ Park,416-392-2489,,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=427&title=Balmy-Beach-Park,6303047,,7683571,1,Beech Ave,1 Beech Ave,M4E 1A7,former Toronto,Toronto,,106001,7683563,2075,,,,4237,Beaches-East York,32,19,3835122,"Created in 1903, the historic park features a lawn bowling club, a playground and outdoor fitness equipment.",Y,"{""coordinates"": [[-79.28419, 43.67057]], ""type"": ""MultiPoint""}"
13,,BAPS Shri Swaminarayan Mandir,Landmark,416-798-2277,,http://www.baps.org/Global-Network/North-America/Toronto.aspx,7063040,,7063040,61,Claireville Dr,61 Claireville Dr,M9W 5Z7,Etobicoke,Toronto,,114001,7063031,61,,,,1350,Etobicoke North,1,1,2361585,"This unique-to-Canada architectural monument is made with 24,000 pieces of marble and stone. Discover the more than 10,000-year-old heritage of India.",Y,"{""coordinates"": [[-79.62676, 43.73865]], ""type"": ""MultiPoint""}"
14,,Bata Shoe Museum,Museum,416-979-7799,,https://batashoemuseum.ca/,8408594,,8408594,327,Bloor St W,327 Bloor St W,M5S 1W7,former Toronto,Toronto,,115001,8408589,327,,,,458,University-Rosedale,20,11,2243147,"Home to hundreds of shoes (from a collection numbering over 13,000). The museum celebrates the style and function of footwear in impressive galleries from ancient Egypt to modern fashion.",Y,"{""coordinates"": [[-79.40019, 43.66729]], ""type"": ""MultiPoint""}"
15,,Beanfield Centre,Convention & Trade Centres,416-263-3000,,https://www.beanfieldcentre.com/,13497744,,13497744,105,Princes' Blvd,105 Princes' Blvd,M6K 3C3,former Toronto,Toronto,CNE Automotive Bldg,107007,14063902,105,,,,20228,Spadina-Fort York,19,10,4163970,The Beanfield Centre (formerly Allstream Centre) is an environmentally friendly conference venue.,Y,"{""coordinates"": [[-79.41061, 43.63413]], ""type"": ""MultiPoint""}"
16,,Betty Oliphant Theatre (at Canada's National Ballet School),Performing Arts,416-964-3780,,https://www.nbs-enb.ca/venue-rentals/betty-oliphant-theatre,10924127,,10924127,404,Jarvis St,404 Jarvis St,M4Y 2G6,former Toronto,Toronto,,115001,20058417,404,,,,3741,Toronto Centre,27,13,1781615,"Designed by Jack Diamond, the Betty Oliphant Theatre is used by the Canada National Ballet School as a training and performance venue.",N,"{""coordinates"": [[-79.37802, 43.6642]], ""type"": ""MultiPoint""}"
