_id,Establishment ID,Inspection ID,Establishment Name,Establishment Type,Establishment Address,Establishment Status,Min. Inspections Per Year,Infraction Details,Inspection Date,Severity,Action,Outcome,Amount Fined,Latitude,Longitude,unique_id,area,score
1,10657713,105133203.0,NEW KANTAMANTO MARKET,Food Depot,"266 EDDYSTONE AVE, Unit-0",Pass,2,FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,2023-03-07,M - Minor,Notice to Comply,,,43.74791,-79.52219,6e10cefe79756f0320205ba4eed824b0,other,0.238
4,10752656,105020163.0,# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,Pass,3,Fail to protect against entry of pests - Sec. 13(1),2022-08-10,M - Minor,Notice to Comply,,,43.72199,-79.30349,246bb68a961a319eacdd4143463892d7,other,0.421
32,10805561,105336766.0,#DESI,Food Take Out,"65 FRONT ST W, Unit-442",Pass,2,,2024-03-04,,,,,43.64528,-79.38049,153d089294f951f22a8a91d97b9e3510,downtown,0.5
35,9008018,105076692.0,'K' STORE,Food Store (Convenience/Variety),99 CARLTON ST,Pass,1,,2022-11-21,,,,,43.66205,-79.37747,3a051474407e5d434dd6df2efc806b9b,other,0.5
36,10808575,105358434.0,000L BANNER CLUB KITCHEN,Commissary,1 BLUE JAYS WAY,Pass,3,,2024-04-11,,,,,43.64168,-79.39012,72495be96c9ea8b64b4fa565cbc25356,harbourfront,0.5
37,10510325,105068875.0,0109 Dessert + Chocolate,Restaurant,"2190 MCNICOLL AVE, -109",Pass,2,,2022-11-07,,,,,43.81477,-79.29491,b510b4b32d3cc56c7279ea5954faca7d,other,0.5
39,10776009,105136505.0,1 HOTEL - HARRIET'S,Restaurant,550 WELLINGTON ST W,Pass,2,,2023-03-14,,,,,43.64284,-79.40167,9605c06adedf2836f7530972fc64e55d,other,0.5
44,10776015,105199515.0,1 HOTEL TORONTO - 1 KITCHEN,Restaurant,550 WELLINGTON ST W,Pass,2,,2023-06-26,,,,,43.64284,-79.40167,c9ddc5dac77b0b3d2142027091b45bc9,other,0.5
49,10776008,105136499.0,1 HOTEL TORONTO - CASA MADERA,Restaurant,550 WELLINGTON ST W,Pass,3,,2023-03-14,,,,,43.64284,-79.40167,e46e0809481bd954b178e48eb65a9e5c,other,0.5
54,10776019,105136562.0,1 HOTEL TORONTO - FLORA LOUNGE,Restaurant,550 WELLINGTON ST W,Pass,2,,2023-03-14,,,,,43.64284,-79.40167,7b6b47b2fbb6fce5ef70576261cf53fe,other,0.5
