_id,BranchCode,PhysicalBranch,BranchName,Address,PostalCode,Website,Telephone,SquareFootage,PublicParking,KidsStop,LeadingReading,CLC,DIH,TeenCouncil,YouthHub,AdultLiteracyProgram,Workstations,ServiceTier,Lat,Long,NBHDNo,NBHDName,TPLNIA,WardNo,WardName,PresentSiteYear,area,score
1,AB,1,Albion,"1515 Albion Road, Toronto, ON, M9V 1B2",M9V 1B2,https://www.tpl.ca/albion,416-394-5170,29000,59,1.0,1.0,1.0,1.0,1.0,1.0,1.0,38.0,DL,43.739826,-79.584096,2.0,Mount Olive-Silverstone-Jamestown,1.0,1.0,Etobicoke North,2017.0,other,0.756
2,ACD,1,Albert Campbell,"496 Birchmount Road, Toronto, ON, M1K 1N8",M1K 1N8,https://www.tpl.ca/albertcampbell,416-396-8890,28957,45,0.0,1.0,1.0,1.0,1.0,1.0,0.0,36.0,DL,43.708019,-79.269252,120.0,Clairlea-Birchmount ,1.0,20.0,Scarborough Southwest,1971.0,other,0.717
3,AD,1,Alderwood,"2 Orianna Drive, Toronto, ON, M8W 4Y1",M8W 4Y1,https://www.tpl.ca/alderwood,416-394-5310,7341,shared,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,NL,43.601944,-79.547252,20.0,Alderwood,0.0,3.0,Etobicoke-Lakeshore,1999.0,other,0.271
4,AG,1,Agincourt,"155 Bonis Avenue, Toronto, ON, M1T 3W6",M1T 3W6,https://www.tpl.ca/agincourt,416-396-8943,27000,86,0.0,1.0,1.0,1.0,0.0,1.0,0.0,42.0,DL,43.785167,-79.29343,118.0,Tam O'Shanter-Sullivan ,0.0,22.0,Scarborough-Agincourt,1991.0,other,0.654
5,AH,1,Armour Heights,"2140 Avenue Road, Toronto, ON, M5M 4M7",M5M 4M7,https://www.tpl.ca/armourheights,416-395-5430,2988,shared,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,NL,43.739337,-79.421889,39.0,Bedford Park-Nortown ,0.0,8.0,Eglinton-Lawrence,1982.0,lawrence,0.288
6,AL,0,Answerline,,,https://www.tpl.ca/contact,416-397-5981,  ,,,,,,,,,,RR,,,,,,,,,other,0.5
7,AN,1,Annette Street,"145 Annette Street, Toronto, ON, M6P 1P3",M6P 1P3,https://www.tpl.ca/annette,416-393-7692,7806,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,NL,43.663359,-79.466348,90.0,Junction Area ,0.0,4.0,Parkdale-High Park,1908.0,other,0.365
8,AP,1,Amesbury Park,"1565 Lawrence Avenue West, Toronto, ON, M6L 1A8",M6L 1A8,https://www.tpl.ca/amesburypark,416-395-5420,6320,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,NL,43.706456,-79.485726,30.0,Brookhaven-Amesbury ,1.0,5.0,York South-Weston,1967.0,other,0.369
9,BB,1,Brookbanks,"210 Brookbanks Drive, Toronto, ON, M3A 2T8",M3A 2T8,https://www.tpl.ca/brookbanks,416-395-5480,7933,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,NL,43.759507,-79.325904,150.0,Fenside-Parkwoods,0.0,16.0,Don Valley East,1968.0,other,0.394
10,BC,1,Black Creek,"North York Sheridan Mall, 1700 Wilson Avenue, Toronto, ON, M3L 1B2",M3L 1B2,https://www.tpl.ca/blackcreek,416-395-5470,5782,shared,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,NL,43.721219,-79.510467,26.0,Downsview-Roding-CFB,1.0,7.0,Humber River-Black Creek,2002.0,other,0.252
11,BD,1,Bendale,"1515 Danforth Road, Toronto, ON, M1J 1H5",M1J 1H5,https://www.tpl.ca/bendale,416-396-8910,8500,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,NL,43.751063,-79.244052,157.0,Bendale South,1.0,21.0,Scarborough Centre,1961.0,other,0.407
12,BE,1,Beaches,"2161 Queen Street East, Toronto, ON, M4L 1J1",M4L 1J1,https://www.tpl.ca/beaches,416-393-7703,8000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,NL,43.67013,-79.298526,63.0,The Beaches ,0.0,19.0,Beaches-East York,1914.0,other,0.37
13,BF,1,Barbara Frum,"20 Covington Road, Toronto, ON, M6A 3C1",M6A 3C1,https://www.tpl.ca/barbarafrum,416-395-5440,29417,6,0.0,1.0,1.0,0.0,1.0,1.0,1.0,30.0,DL,43.720752,-79.432215,32.0,Englemount-Lawrence ,0.0,8.0,Eglinton-Lawrence,1992.0,other,0.646
14,BKONE,0,Bookmobile One,,,https://www.tpl.ca/bookmobiles,,  ,,,,,,,,,,NL,,,,,,,,,other,0.5
15,BKTWO,0,Bookmobile Two,,,https://www.tpl.ca/bookmobiles,,  ,,,,,,,,,,NL,,,,,,,,,other,0.5
16,BL,1,Bloor/Gladstone,"1101 Bloor Street West, Toronto, ON, M6H 1M7",M6H 1M7,https://www.tpl.ca/bloorgladstone,416-393-7674,20627,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,36.0,DL,43.659878,-79.434022,83.0,Dufferin Grove ,0.0,9.0,Davenport,1913.0,other,0.556
17,BR,1,Brentwood,"36 Brentwood Road North, Toronto, ON, M8X 2B5",M8X 2B5,https://www.tpl.ca/brentwood,416-394-5240,17500,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,33.0,DL,43.647448,-79.514259,15.0,Kingsway South ,0.0,3.0,Etobicoke-Lakeshore,1955.0,other,0.567
18,BRW,1,Bridlewood,"Bridlewood Mall, 157A-2900 Warden Avenue, Toronto, ON, M1W 2S8",M1W 2S8,https://www.tpl.ca/bridlewood,416-396-8960,8000,shared,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,NL,43.797144,-79.31777,147.0,L'Amoreaux West,0.0,22.0,Scarborough-Agincourt,1992.0,other,0.327
19,BUR,1,Burrows Hall,"1081 Progress Avenue, Toronto, ON, M1B 5Z6",M1B 5Z6,https://www.tpl.ca/burrowshall,416-396-8740,6500,shared,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,NL,43.793885,-79.23423,146.0,Malvern East,1.0,23.0,Scarborough North,1998.0,other,0.273
20,CC,1,Cliffcrest,"3017 Kingston Road, Toronto, ON, M1M 1P1",M1M 1P1,https://www.tpl.ca/cliffcrest,416-396-8916,4859,shared,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,NL,43.72517,-79.23077,123.0,Cliffcrest ,1.0,20.0,Scarborough Southwest,2008.0,other,0.244
21,CE,1,Centennial,"578 Finch Avenue West, Toronto, ON, M2R 1N7",M2R 1N7,https://www.tpl.ca/centennial,416-395-5490,6866,18,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,NL,43.772989,-79.449578,35.0,Westminster-Branson,0.0,6.0,York Centre,1966.0,other,0.425
22,CED,1,Cedarbrae,"545 Markham Road, Toronto, ON, M1H 2A1",M1H 2A1,https://www.tpl.ca/cedarbrae,416-396-8850,31506,69,1.0,1.0,1.0,0.0,1.0,1.0,0.0,66.0,DL,43.75753,-79.223963,141.0,Golfdale-Cedarbrae-Woburn,1.0,24.0,Scarborough-Guildwood,1958.0,other,0.73
23,CH,1,City Hall,"Nathan Phillips Square, 100 Queen Street West, Toronto, ON, M5H 2N3",M5H 2N3,https://www.tpl.ca/cityhall,416-393-7650,5074,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,NL,43.653367,-79.383993,170.0,Yonge-Bay Corridor,0.0,10.0,Spadina-Fort York,1965.0,downtown,0.389
24,CL,1,North York Central Library,"5120 Yonge Street, Toronto, ON, M2N 5N9",M2N 5N9,https://www.tpl.ca/northyorkcentral,416-395-5535,168022,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,98.0,RR,43.768078,-79.414244,37.0,Willowdale West,0.0,18.0,Willowdale,1987.0,other,0.714
25,CS,1,College/Shaw,"766 College Street, Toronto, ON, M6G 1C4",M6G 1C4,https://www.tpl.ca/collegeshaw,416-393-7668,7664,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,NL,43.655159,-79.420111,80.0,Palmerston-Little Italy ,0.0,11.0,University-Rosedale,1984.0,littleitaly,0.339
26,DA,1,Danforth/Coxwell,"1675 Danforth Avenue, Toronto, ON, M4C 5P2",M4C 5P2,https://www.tpl.ca/danforthcoxwell,416-393-7783,9617,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,NL,43.683574,-79.3214,64.0,Woodbine Corridor,0.0,19.0,Beaches-East York,1989.0,other,0.315
27,DM,1,Don Mills,"888 Lawrence Avenue East, Toronto, ON, M3C 1P6",M3C 1P6,https://www.tpl.ca/donmills,416-395-5710,21563,47,0.0,0.0,0.0,0.0,1.0,1.0,1.0,25.0,DL,43.736641,-79.347341,42.0,Banbury-Don Mills ,0.0,16.0,Don Valley East,1961.0,other,0.641
28,DO,1,Downsview,"2793 Keele Street, Toronto, ON, M3M 2G3",M3M 2G3,https://www.tpl.ca/downsview,416-395-5720,20016,16,1.0,1.0,1.0,1.0,0.0,1.0,1.0,32.0,NL,43.72887,-79.482052,26.0,Downsview-Roding-CFB,1.0,6.0,York Centre,1962.0,other,0.719
29,DP,1,Deer Park,"40 St. Clair Avenue East, Toronto, ON, M4T 1M9",M4T 1M9,https://www.tpl.ca/deerpark,416-393-7657,16558,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,NL,43.688581,-79.392481,98.0,Rosedale-Moore Park,0.0,12.0,Toronto-St. Paul's,1952.0,other,0.364
30,DR,1,Dawes Road,"416 Dawes Road, Toronto, ON, M4B 2E8",M4B 2E8,https://www.tpl.ca/dawesroad,416-396-3820,6740,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,NL,43.701174,-79.297326,54.0,O'Connor-Parkview,1.0,19.0,Beaches-East York,1976.0,other,0.314
