_id,LOCATIONID,ASSET_ID,ASSET_NAME,TYPE,AMENITIES,ADDRESS,PHONE,URL,geometry,Latitude,Longitude,area,score
1,275,1103,WEST HILL PARK,Park,"Ball Diamond, Playground",170 Weir Cres,,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=275,"{""coordinates"": [[-79.1956035888395, 43.7702518540667]], ""type"": ""MultiPoint""}",43.7702518540667,-79.1956035888395,other,0.7
2,458,1545,TOWN HALL SQUARE,Park,,20 Yorkville Ave,,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=458,"{""coordinates"": [[-79.3882843880466, 43.6720394338363]], ""type"": ""MultiPoint""}",43.6720394338363,-79.3882843880466,other,0.3675147306289855
3,2410,53,AVALON PARKETTE,Park,,1700 Kingston Rd,,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2410,"{""coordinates"": [[-79.2635348900535, 43.6924725401332]], ""type"": ""MultiPoint""}",43.6924725401332,-79.2635348900535,other,0.5
4,3545,59608,BEECROFT LINEAR PARK,Park,,510 Beecroft Rd,,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=3545,"{""coordinates"": [[-79.4174664576782, 43.77459151159]], ""type"": ""MultiPoint""}",43.77459151159,-79.4174664576782,other,0.3512962031656528
5,2260,1265,DIXINGTON PARKETTE,Park,,40 Dixington Cres,,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2260,"{""coordinates"": [[-79.5409521150362, 43.6969404040206]], ""type"": ""MultiPoint""}",43.6969404040206,-79.5409521150362,other,0.4583489208546726
6,3536,24922,TORONTO ISLANDS - SNAKE ISLAND,Park,"Firepit, Picnic Site",9 Queens Quay W,,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=3536,"{""coordinates"": [[-79.3641820380973, 43.6241391618803]], ""type"": ""MultiPoint""}",43.6241391618803,-79.3641820380973,other,0.7
7,2597,1216,ETHENNONNHAWAHSTIHNEN PARK,Park,"Firepit, Playground, Sports Field, Washroom",80 McMahon Dr,,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2597,"{""coordinates"": [[-79.3735202085598, 43.7675350341834]], ""type"": ""MultiPoint""}",43.7675350341834,-79.3735202085598,other,0.8999999999999999
8,627,188,CHARTWELL PARK,Park,"Ball Diamond, Playground, Sports Field",99 Kenhatch Blvd,,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=627,"{""coordinates"": [[-79.2617725139867, 43.8054000488545]], ""type"": ""MultiPoint""}",43.8054000488545,-79.2617725139867,other,0.8
9,276,1045,TOPHAM PARK,Park,"Ball Diamond, Playground, Tennis Court, Washroom",181 Westview Blvd,,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=276,"{""coordinates"": [[-79.3065172658871, 43.7100225254369]], ""type"": ""MultiPoint""}",43.7100225254369,-79.3065172658871,other,0.8999999999999999
10,2078,2,ABBOTSFORD PARK,Park,Playground,2 A Abbotsford Rd,,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2078,"{""coordinates"": [[-79.4216115097544, 43.7706298923107]], ""type"": ""MultiPoint""}",43.7706298923107,-79.4216115097544,other,0.6000000000000001
